# domain	grade	kind	question	answer
# Open PK-K-G1 curriculum bank — generated by curriculum_open.py
math	grade1	fact	four and ten	fourteen
math	grade1	problem	4+10	14
math	kindergarten	fact	5 plus 0	five
math	kindergarten	fact	five and zero	five
math	kindergarten	problem	5+0	5
math	kindergarten	problem	5 plus 0 word	five
math	kindergarten	fact	5 plus 1	six
math	kindergarten	fact	five and one	six
math	kindergarten	problem	5+1	6
math	kindergarten	problem	5 plus 1 word	six
math	kindergarten	fact	5 plus 2	seven
math	kindergarten	fact	five and two	seven
math	kindergarten	problem	5+2	7
math	kindergarten	problem	5 plus 2 word	seven
math	kindergarten	fact	5 plus 3	eight
math	kindergarten	fact	five and three	eight
math	kindergarten	problem	5+3	8
math	kindergarten	problem	5 plus 3 word	eight
math	kindergarten	fact	5 plus 4	nine
math	kindergarten	fact	five and four	nine
math	kindergarten	problem	5+4	9
math	kindergarten	problem	5 plus 4 word	nine
math	kindergarten	fact	5 plus 5	ten
math	kindergarten	fact	five and five	ten
math	kindergarten	problem	5+5	10
math	kindergarten	problem	5 plus 5 word	ten
math	grade1	fact	5 plus 6	eleven
math	grade1	fact	five and six	eleven
math	grade1	problem	5+6	11
math	grade1	fact	5 plus 7	twelve
math	grade1	fact	five and seven	twelve
math	grade1	problem	5+7	12
math	grade1	fact	5 plus 8	thirteen
math	grade1	fact	five and eight	thirteen
math	grade1	problem	5+8	13
math	grade1	fact	5 plus 9	fourteen
math	grade1	fact	five and nine	fourteen
math	grade1	problem	5+9	14
math	grade1	fact	5 plus 10	fifteen
math	grade1	fact	five and ten	fifteen
math	grade1	problem	5+10	15
math	kindergarten	fact	6 plus 0	six
math	kindergarten	fact	six and zero	six
math	kindergarten	problem	6+0	6
math	kindergarten	problem	6 plus 0 word	six
math	kindergarten	fact	6 plus 1	seven
math	kindergarten	fact	six and one	seven
math	kindergarten	problem	6+1	7
math	kindergarten	problem	6 plus 1 word	seven
math	kindergarten	fact	6 plus 2	eight
math	kindergarten	fact	six and two	eight
math	kindergarten	problem	6+2	8
math	kindergarten	problem	6 plus 2 word	eight
math	kindergarten	fact	6 plus 3	nine
math	kindergarten	fact	six and three	nine
math	kindergarten	problem	6+3	9
math	kindergarten	problem	6 plus 3 word	nine
math	kindergarten	fact	6 plus 4	ten
math	kindergarten	fact	six and four	ten
math	kindergarten	problem	6+4	10
math	kindergarten	problem	6 plus 4 word	ten
math	grade1	fact	6 plus 5	eleven
math	grade1	fact	six and five	eleven
math	grade1	problem	6+5	11
math	grade1	fact	6 plus 6	twelve
math	grade1	fact	six and six	twelve
math	grade1	problem	6+6	12
math	grade1	fact	6 plus 7	thirteen
math	grade1	fact	six and seven	thirteen
math	grade1	problem	6+7	13
math	grade1	fact	6 plus 8	fourteen
math	grade1	fact	six and eight	fourteen
math	grade1	problem	6+8	14
math	grade1	fact	6 plus 9	fifteen
math	grade1	fact	six and nine	fifteen
math	grade1	problem	6+9	15
math	grade1	fact	6 plus 10	sixteen
math	grade1	fact	six and ten	sixteen
math	grade1	problem	6+10	16
math	kindergarten	fact	7 plus 0	seven
math	kindergarten	fact	seven and zero	seven
math	kindergarten	problem	7+0	7
math	kindergarten	problem	7 plus 0 word	seven
math	kindergarten	fact	7 plus 1	eight
math	kindergarten	fact	seven and one	eight
math	kindergarten	problem	7+1	8
math	kindergarten	problem	7 plus 1 word	eight
math	kindergarten	fact	7 plus 2	nine
math	kindergarten	fact	seven and two	nine
math	kindergarten	problem	7+2	9
math	kindergarten	problem	7 plus 2 word	nine
math	kindergarten	fact	7 plus 3	ten
math	kindergarten	fact	seven and three	ten
math	kindergarten	problem	7+3	10
math	kindergarten	problem	7 plus 3 word	ten
math	grade1	fact	7 plus 4	eleven
math	grade1	fact	seven and four	eleven
math	grade1	problem	7+4	11
math	grade1	fact	7 plus 5	twelve
math	grade1	fact	seven and five	twelve
math	grade1	problem	7+5	12
math	grade1	fact	7 plus 6	thirteen
math	grade1	fact	seven and six	thirteen
math	grade1	problem	7+6	13
math	grade1	fact	7 plus 7	fourteen
math	grade1	fact	seven and seven	fourteen
math	grade1	problem	7+7	14
math	grade1	fact	7 plus 8	fifteen
math	grade1	fact	seven and eight	fifteen
math	grade1	problem	7+8	15
math	grade1	fact	7 plus 9	sixteen
math	grade1	fact	seven and nine	sixteen
math	grade1	problem	7+9	16
math	grade1	fact	7 plus 10	seventeen
math	grade1	fact	seven and ten	seventeen
math	grade1	problem	7+10	17
math	kindergarten	fact	8 plus 0	eight
math	kindergarten	fact	eight and zero	eight
math	kindergarten	problem	8+0	8
math	kindergarten	problem	8 plus 0 word	eight
math	kindergarten	fact	8 plus 1	nine
math	kindergarten	fact	eight and one	nine
math	kindergarten	problem	8+1	9
math	kindergarten	problem	8 plus 1 word	nine
math	kindergarten	fact	8 plus 2	ten
math	kindergarten	fact	eight and two	ten
math	kindergarten	problem	8+2	10
math	kindergarten	problem	8 plus 2 word	ten
math	grade1	fact	8 plus 3	eleven
math	grade1	fact	eight and three	eleven
math	grade1	problem	8+3	11
math	grade1	fact	8 plus 4	twelve
math	grade1	fact	eight and four	twelve
math	grade1	problem	8+4	12
math	grade1	fact	8 plus 5	thirteen
math	grade1	fact	eight and five	thirteen
math	grade1	problem	8+5	13
math	grade1	fact	8 plus 6	fourteen
math	grade1	fact	eight and six	fourteen
math	grade1	problem	8+6	14
math	grade1	fact	8 plus 7	fifteen
math	grade1	fact	eight and seven	fifteen
math	grade1	problem	8+7	15
math	grade1	fact	8 plus 8	sixteen
math	grade1	fact	eight and eight	sixteen
math	grade1	problem	8+8	16
math	grade1	fact	8 plus 9	seventeen
math	grade1	fact	eight and nine	seventeen
math	grade1	problem	8+9	17
math	grade1	fact	8 plus 10	eighteen
math	grade1	fact	eight and ten	eighteen
math	grade1	problem	8+10	18
math	kindergarten	fact	9 plus 0	nine
math	kindergarten	fact	nine and zero	nine
math	kindergarten	problem	9+0	9
math	kindergarten	problem	9 plus 0 word	nine
math	kindergarten	fact	9 plus 1	ten
math	kindergarten	fact	nine and one	ten
math	kindergarten	problem	9+1	10
math	kindergarten	problem	9 plus 1 word	ten
math	grade1	fact	9 plus 2	eleven
math	grade1	fact	nine and two	eleven
math	grade1	problem	9+2	11
math	grade1	fact	9 plus 3	twelve
math	grade1	fact	nine and three	twelve
math	grade1	problem	9+3	12
math	grade1	fact	9 plus 4	thirteen
math	grade1	fact	nine and four	thirteen
math	grade1	problem	9+4	13
math	grade1	fact	9 plus 5	fourteen
math	grade1	fact	nine and five	fourteen
math	grade1	problem	9+5	14
math	grade1	fact	9 plus 6	fifteen
math	grade1	fact	nine and six	fifteen
math	grade1	problem	9+6	15
math	grade1	fact	9 plus 7	sixteen
math	grade1	fact	nine and seven	sixteen
math	grade1	problem	9+7	16
math	grade1	fact	9 plus 8	seventeen
math	grade1	fact	nine and eight	seventeen
math	grade1	problem	9+8	17
math	grade1	fact	9 plus 9	eighteen
math	grade1	fact	nine and nine	eighteen
math	grade1	problem	9+9	18
math	grade1	fact	9 plus 10	nineteen
math	grade1	fact	nine and ten	nineteen
math	grade1	problem	9+10	19
math	kindergarten	fact	10 plus 0	ten
math	kindergarten	fact	ten and zero	ten
math	kindergarten	problem	10+0	10
math	kindergarten	problem	10 plus 0 word	ten
math	grade1	fact	10 plus 1	eleven
math	grade1	fact	ten and one	eleven
math	grade1	problem	10+1	11
math	grade1	fact	10 plus 2	twelve
math	grade1	fact	ten and two	twelve
math	grade1	problem	10+2	12
math	grade1	fact	10 plus 3	thirteen
math	grade1	fact	ten and three	thirteen
math	grade1	problem	10+3	13
math	grade1	fact	10 plus 4	fourteen
math	grade1	fact	ten and four	fourteen
math	grade1	problem	10+4	14
math	grade1	fact	10 plus 5	fifteen
math	grade1	fact	ten and five	fifteen
math	grade1	problem	10+5	15
math	grade1	fact	10 plus 6	sixteen
math	grade1	fact	ten and six	sixteen
math	grade1	problem	10+6	16
math	grade1	fact	10 plus 7	seventeen
math	grade1	fact	ten and seven	seventeen
math	grade1	problem	10+7	17
math	grade1	fact	10 plus 8	eighteen
math	grade1	fact	ten and eight	eighteen
math	grade1	problem	10+8	18
math	grade1	fact	10 plus 9	nineteen
math	grade1	fact	ten and nine	nineteen
math	grade1	problem	10+9	19
math	grade1	fact	10 plus 10	twenty
math	grade1	fact	ten and ten	twenty
math	grade1	problem	10+10	20
math	preschool	fact	0 minus 0	zero
math	preschool	fact	zero take away zero	zero
math	preschool	problem	0-0	0
math	preschool	fact	1 minus 0	one
math	preschool	fact	one take away zero	one
math	preschool	problem	1-0	1
math	preschool	fact	1 minus 1	zero
math	preschool	fact	one take away one	zero
math	preschool	problem	1-1	0
math	preschool	fact	2 minus 0	two
math	preschool	fact	two take away zero	two
math	preschool	problem	2-0	2
math	preschool	fact	2 minus 1	one
math	preschool	fact	two take away one	one
math	preschool	problem	2-1	1
math	preschool	fact	2 minus 2	zero
math	preschool	fact	two take away two	zero
math	preschool	problem	2-2	0
math	preschool	fact	3 minus 0	three
math	preschool	fact	three take away zero	three
math	preschool	problem	3-0	3
math	preschool	fact	3 minus 1	two
math	preschool	fact	three take away one	two
math	preschool	problem	3-1	2
math	preschool	fact	3 minus 2	one
math	preschool	fact	three take away two	one
math	preschool	problem	3-2	1
math	preschool	fact	3 minus 3	zero
math	preschool	fact	three take away three	zero
math	preschool	problem	3-3	0
math	preschool	fact	4 minus 0	four
math	preschool	fact	four take away zero	four
math	preschool	problem	4-0	4
math	preschool	fact	4 minus 1	three
math	preschool	fact	four take away one	three
math	preschool	problem	4-1	3
math	preschool	fact	4 minus 2	two
math	preschool	fact	four take away two	two
math	preschool	problem	4-2	2
math	preschool	fact	4 minus 3	one
math	preschool	fact	four take away three	one
math	preschool	problem	4-3	1
math	preschool	fact	4 minus 4	zero
math	preschool	fact	four take away four	zero
math	preschool	problem	4-4	0
math	preschool	fact	5 minus 0	five
math	preschool	fact	five take away zero	five
math	preschool	problem	5-0	5
math	preschool	fact	5 minus 1	four
math	preschool	fact	five take away one	four
math	preschool	problem	5-1	4
math	preschool	fact	5 minus 2	three
math	preschool	fact	five take away two	three
math	preschool	problem	5-2	3
math	preschool	fact	5 minus 3	two
math	preschool	fact	five take away three	two
math	preschool	problem	5-3	2
math	preschool	fact	5 minus 4	one
math	preschool	fact	five take away four	one
math	preschool	problem	5-4	1
math	preschool	fact	5 minus 5	zero
math	preschool	fact	five take away five	zero
math	preschool	problem	5-5	0
math	kindergarten	fact	6 minus 0	six
math	kindergarten	fact	six take away zero	six
math	kindergarten	problem	6-0	6
math	kindergarten	fact	6 minus 1	five
math	kindergarten	fact	six take away one	five
math	kindergarten	problem	6-1	5
math	kindergarten	fact	6 minus 2	four
math	kindergarten	fact	six take away two	four
math	kindergarten	problem	6-2	4
math	kindergarten	fact	6 minus 3	three
math	kindergarten	fact	six take away three	three
math	kindergarten	problem	6-3	3
math	kindergarten	fact	6 minus 4	two
math	kindergarten	fact	six take away four	two
math	kindergarten	problem	6-4	2
math	kindergarten	fact	6 minus 5	one
math	kindergarten	fact	six take away five	one
math	kindergarten	problem	6-5	1
math	kindergarten	fact	6 minus 6	zero
math	kindergarten	fact	six take away six	zero
math	kindergarten	problem	6-6	0
math	kindergarten	fact	7 minus 0	seven
math	kindergarten	fact	seven take away zero	seven
math	kindergarten	problem	7-0	7
math	kindergarten	fact	7 minus 1	six
math	kindergarten	fact	seven take away one	six
math	kindergarten	problem	7-1	6
math	kindergarten	fact	7 minus 2	five
math	kindergarten	fact	seven take away two	five
math	kindergarten	problem	7-2	5
math	kindergarten	fact	7 minus 3	four
math	kindergarten	fact	seven take away three	four
math	kindergarten	problem	7-3	4
math	kindergarten	fact	7 minus 4	three
math	kindergarten	fact	seven take away four	three
math	kindergarten	problem	7-4	3
math	kindergarten	fact	7 minus 5	two
math	kindergarten	fact	seven take away five	two
math	kindergarten	problem	7-5	2
math	kindergarten	fact	7 minus 6	one
math	kindergarten	fact	seven take away six	one
math	kindergarten	problem	7-6	1
math	kindergarten	fact	7 minus 7	zero
math	kindergarten	fact	seven take away seven	zero
math	kindergarten	problem	7-7	0
math	kindergarten	fact	8 minus 0	eight
math	kindergarten	fact	eight take away zero	eight
math	kindergarten	problem	8-0	8
math	kindergarten	fact	8 minus 1	seven
math	kindergarten	fact	eight take away one	seven
math	kindergarten	problem	8-1	7
math	kindergarten	fact	8 minus 2	six
math	kindergarten	fact	eight take away two	six
math	kindergarten	problem	8-2	6
math	kindergarten	fact	8 minus 3	five
math	kindergarten	fact	eight take away three	five
math	kindergarten	problem	8-3	5
math	kindergarten	fact	8 minus 4	four
math	kindergarten	fact	eight take away four	four
math	kindergarten	problem	8-4	4
math	kindergarten	fact	8 minus 5	three
math	kindergarten	fact	eight take away five	three
math	kindergarten	problem	8-5	3
math	kindergarten	fact	8 minus 6	two
math	kindergarten	fact	eight take away six	two
math	kindergarten	problem	8-6	2
math	kindergarten	fact	8 minus 7	one
math	kindergarten	fact	eight take away seven	one
math	kindergarten	problem	8-7	1
math	kindergarten	fact	8 minus 8	zero
math	kindergarten	fact	eight take away eight	zero
math	kindergarten	problem	8-8	0
math	grade1	fact	9 minus 0	nine
math	grade1	fact	nine take away zero	nine
math	grade1	problem	9-0	9
math	grade1	fact	9 minus 1	eight
math	grade1	fact	nine take away one	eight
math	grade1	problem	9-1	8
math	grade1	fact	9 minus 2	seven
math	grade1	fact	nine take away two	seven
math	grade1	problem	9-2	7
math	grade1	fact	9 minus 3	six
math	grade1	fact	nine take away three	six
math	grade1	problem	9-3	6
math	grade1	fact	9 minus 4	five
math	grade1	fact	nine take away four	five
math	grade1	problem	9-4	5
math	grade1	fact	9 minus 5	four
math	grade1	fact	nine take away five	four
math	grade1	problem	9-5	4
math	grade1	fact	9 minus 6	three
math	grade1	fact	nine take away six	three
math	grade1	problem	9-6	3
math	grade1	fact	9 minus 7	two
math	grade1	fact	nine take away seven	two
math	grade1	problem	9-7	2
math	grade1	fact	9 minus 8	one
math	grade1	fact	nine take away eight	one
math	grade1	problem	9-8	1
math	grade1	fact	9 minus 9	zero
math	grade1	fact	nine take away nine	zero
math	grade1	problem	9-9	0
math	grade1	fact	10 minus 0	ten
math	grade1	fact	ten take away zero	ten
math	grade1	problem	10-0	10
math	grade1	fact	10 minus 1	nine
math	grade1	fact	ten take away one	nine
math	grade1	problem	10-1	9
math	grade1	fact	10 minus 2	eight
math	grade1	fact	ten take away two	eight
math	grade1	problem	10-2	8
math	grade1	fact	10 minus 3	seven
math	grade1	fact	ten take away three	seven
math	grade1	problem	10-3	7
math	grade1	fact	10 minus 4	six
math	grade1	fact	ten take away four	six
math	grade1	problem	10-4	6
math	grade1	fact	10 minus 5	five
math	grade1	fact	ten take away five	five
math	grade1	problem	10-5	5
math	grade1	fact	10 minus 6	four
math	grade1	fact	ten take away six	four
math	grade1	problem	10-6	4
math	grade1	fact	10 minus 7	three
math	grade1	fact	ten take away seven	three
math	grade1	problem	10-7	3
math	grade1	fact	10 minus 8	two
math	grade1	fact	ten take away eight	two
math	grade1	problem	10-8	2
math	grade1	fact	10 minus 9	one
math	grade1	fact	ten take away nine	one
math	grade1	problem	10-9	1
math	grade1	fact	10 minus 10	zero
math	grade1	fact	ten take away ten	zero
math	grade1	problem	10-10	0
math	kindergarten	fact	make ten with 0	ten
math	kindergarten	problem	0 and what make ten	ten
math	kindergarten	fact	make ten with 1	nine
math	kindergarten	problem	1 and what make ten	nine
math	kindergarten	fact	make ten with 2	eight
math	kindergarten	problem	2 and what make ten	eight
math	kindergarten	fact	make ten with 3	seven
math	kindergarten	problem	3 and what make ten	seven
math	kindergarten	fact	make ten with 4	six
math	kindergarten	problem	4 and what make ten	six
math	kindergarten	fact	make ten with 5	five
math	kindergarten	problem	5 and what make ten	five
math	grade1	fact	make ten with 6	four
math	grade1	problem	6 and what make ten	four
math	grade1	fact	make ten with 7	three
math	grade1	problem	7 and what make ten	three
math	grade1	fact	make ten with 8	two
math	grade1	problem	8 and what make ten	two
math	grade1	fact	make ten with 9	one
math	grade1	problem	9 and what make ten	one
math	grade1	fact	make ten with 10	zero
math	grade1	problem	10 and what make ten	zero
math	kindergarten	fact	bigger 0 or 1	one
math	kindergarten	fact	smaller 0 or 1	zero
math	kindergarten	fact	bigger 0 or 2	two
math	kindergarten	fact	smaller 0 or 2	zero
math	kindergarten	fact	bigger 0 or 3	three
math	kindergarten	fact	smaller 0 or 3	zero
math	kindergarten	fact	bigger 0 or 4	four
math	kindergarten	fact	smaller 0 or 4	zero
