# domain	grade	kind	question	answer
# Open PK→G8 curriculum — curriculum_open.py
math	kindergarten	problem	7-2	5
math	kindergarten	fact	7 minus 3	four
math	kindergarten	problem	7-3	4
math	kindergarten	fact	7 minus 4	three
math	kindergarten	problem	7-4	3
math	kindergarten	fact	7 minus 5	two
math	kindergarten	problem	7-5	2
math	kindergarten	fact	7 minus 6	one
math	kindergarten	problem	7-6	1
math	kindergarten	fact	7 minus 7	zero
math	kindergarten	problem	7-7	0
math	kindergarten	fact	8 plus 0	eight
math	kindergarten	problem	8+0	8
math	kindergarten	fact	8 plus 1	nine
math	kindergarten	problem	8+1	9
math	kindergarten	fact	8 plus 2	ten
math	kindergarten	problem	8+2	10
math	grade1	fact	8 plus 3	eleven
math	grade1	problem	8+3	11
math	grade1	fact	8 plus 4	twelve
math	grade1	problem	8+4	12
math	grade1	fact	8 plus 5	thirteen
math	grade1	problem	8+5	13
math	grade1	fact	8 plus 6	fourteen
math	grade1	problem	8+6	14
math	grade1	fact	8 plus 7	fifteen
math	grade1	problem	8+7	15
math	grade1	fact	8 plus 8	sixteen
math	grade1	problem	8+8	16
math	grade1	fact	8 plus 9	seventeen
math	grade1	problem	8+9	17
math	grade1	fact	8 plus 10	eighteen
math	grade1	problem	8+10	18
math	kindergarten	fact	8 minus 0	eight
math	kindergarten	problem	8-0	8
math	kindergarten	fact	8 minus 1	seven
math	kindergarten	problem	8-1	7
math	kindergarten	fact	8 minus 2	six
math	kindergarten	problem	8-2	6
math	kindergarten	fact	8 minus 3	five
math	kindergarten	problem	8-3	5
math	kindergarten	fact	8 minus 4	four
math	kindergarten	problem	8-4	4
math	kindergarten	fact	8 minus 5	three
math	kindergarten	problem	8-5	3
math	kindergarten	fact	8 minus 6	two
math	kindergarten	problem	8-6	2
math	kindergarten	fact	8 minus 7	one
math	kindergarten	problem	8-7	1
math	kindergarten	fact	8 minus 8	zero
math	kindergarten	problem	8-8	0
math	kindergarten	fact	9 plus 0	nine
math	kindergarten	problem	9+0	9
math	kindergarten	fact	9 plus 1	ten
math	kindergarten	problem	9+1	10
math	grade1	fact	9 plus 2	eleven
math	grade1	problem	9+2	11
math	grade1	fact	9 plus 3	twelve
math	grade1	problem	9+3	12
math	grade1	fact	9 plus 4	thirteen
math	grade1	problem	9+4	13
math	grade1	fact	9 plus 5	fourteen
math	grade1	problem	9+5	14
math	grade1	fact	9 plus 6	fifteen
math	grade1	problem	9+6	15
math	grade1	fact	9 plus 7	sixteen
math	grade1	problem	9+7	16
math	grade1	fact	9 plus 8	seventeen
math	grade1	problem	9+8	17
math	grade1	fact	9 plus 9	eighteen
math	grade1	problem	9+9	18
math	grade1	fact	9 plus 10	nineteen
math	grade1	problem	9+10	19
math	grade1	fact	9 minus 0	nine
math	grade1	problem	9-0	9
math	grade1	fact	9 minus 1	eight
math	grade1	problem	9-1	8
math	grade1	fact	9 minus 2	seven
math	grade1	problem	9-2	7
math	grade1	fact	9 minus 3	six
math	grade1	problem	9-3	6
math	grade1	fact	9 minus 4	five
math	grade1	problem	9-4	5
math	grade1	fact	9 minus 5	four
math	grade1	problem	9-5	4
math	grade1	fact	9 minus 6	three
math	grade1	problem	9-6	3
math	grade1	fact	9 minus 7	two
math	grade1	problem	9-7	2
math	grade1	fact	9 minus 8	one
math	grade1	problem	9-8	1
math	grade1	fact	9 minus 9	zero
math	grade1	problem	9-9	0
math	kindergarten	fact	10 plus 0	ten
math	kindergarten	problem	10+0	10
math	grade1	fact	10 plus 1	eleven
math	grade1	problem	10+1	11
math	grade1	fact	10 plus 2	twelve
math	grade1	problem	10+2	12
math	grade1	fact	10 plus 3	thirteen
math	grade1	problem	10+3	13
math	grade1	fact	10 plus 4	fourteen
math	grade1	problem	10+4	14
math	grade1	fact	10 plus 5	fifteen
math	grade1	problem	10+5	15
math	grade1	fact	10 plus 6	sixteen
math	grade1	problem	10+6	16
math	grade1	fact	10 plus 7	seventeen
math	grade1	problem	10+7	17
math	grade1	fact	10 plus 8	eighteen
math	grade1	problem	10+8	18
math	grade1	fact	10 plus 9	nineteen
math	grade1	problem	10+9	19
math	grade1	fact	10 plus 10	twenty
math	grade1	problem	10+10	20
math	grade1	fact	10 minus 0	ten
math	grade1	problem	10-0	10
math	grade1	fact	10 minus 1	nine
math	grade1	problem	10-1	9
math	grade1	fact	10 minus 2	eight
math	grade1	problem	10-2	8
math	grade1	fact	10 minus 3	seven
math	grade1	problem	10-3	7
math	grade1	fact	10 minus 4	six
math	grade1	problem	10-4	6
math	grade1	fact	10 minus 5	five
math	grade1	problem	10-5	5
math	grade1	fact	10 minus 6	four
math	grade1	problem	10-6	4
math	grade1	fact	10 minus 7	three
math	grade1	problem	10-7	3
math	grade1	fact	10 minus 8	two
math	grade1	problem	10-8	2
math	grade1	fact	10 minus 9	one
math	grade1	problem	10-9	1
math	grade1	fact	10 minus 10	zero
math	grade1	problem	10-10	0
math	kindergarten	fact	make ten with 0	ten
math	kindergarten	fact	make ten with 1	nine
math	kindergarten	fact	make ten with 2	eight
math	kindergarten	fact	make ten with 3	seven
math	kindergarten	fact	make ten with 4	six
math	kindergarten	fact	make ten with 5	five
math	grade1	fact	make ten with 6	four
math	grade1	fact	make ten with 7	three
math	grade1	fact	make ten with 8	two
math	grade1	fact	make ten with 9	one
math	grade1	fact	make ten with 10	zero
math	grade1	fact	tens in 10	1
math	grade2	fact	1 tens equals	10
math	grade1	fact	tens in 20	2
math	grade2	fact	2 tens equals	20
math	grade1	fact	tens in 30	3
math	grade2	fact	3 tens equals	30
math	grade1	fact	tens in 40	4
math	grade2	fact	4 tens equals	40
math	grade1	fact	tens in 50	5
math	grade2	fact	5 tens equals	50
math	grade1	fact	tens in 60	6
math	grade2	fact	6 tens equals	60
math	grade1	fact	tens in 70	7
math	grade2	fact	7 tens equals	70
math	grade1	fact	tens in 80	8
math	grade2	fact	8 tens equals	80
math	grade1	fact	tens in 90	9
math	grade2	fact	9 tens equals	90
math	grade2	fact	10 plus 1	11
math	grade2	problem	10+1	11
math	grade2	fact	10 minus 1	9
math	grade2	fact	10 plus 5	15
math	grade2	problem	10+5	15
math	grade2	fact	10 minus 5	5
math	grade2	fact	10 plus 10	20
math	grade2	problem	10+10	20
math	grade2	fact	10 minus 10	0
math	grade2	fact	10 plus 12	22
math	grade2	problem	10+12	22
math	grade2	fact	17 plus 1	18
math	grade2	problem	17+1	18
math	grade2	fact	17 minus 1	16
math	grade2	fact	17 plus 5	22
math	grade2	problem	17+5	22
math	grade2	fact	17 minus 5	12
math	grade2	fact	17 plus 10	27
math	grade2	problem	17+10	27
math	grade2	fact	17 minus 10	7
math	grade2	fact	17 plus 12	29
math	grade2	problem	17+12	29
math	grade2	fact	17 minus 12	5
math	grade2	fact	24 plus 1	25
math	grade2	problem	24+1	25
math	grade2	fact	24 minus 1	23
math	grade2	fact	24 plus 5	29
math	grade2	problem	24+5	29
math	grade2	fact	24 minus 5	19
math	grade2	fact	24 plus 10	34
math	grade2	problem	24+10	34
math	grade2	fact	24 minus 10	14
math	grade2	fact	24 plus 12	36
math	grade2	problem	24+12	36
math	grade2	fact	24 minus 12	12
math	grade2	fact	31 plus 1	32
math	grade2	problem	31+1	32
math	grade2	fact	31 minus 1	30
math	grade2	fact	31 plus 5	36
math	grade2	problem	31+5	36
math	grade2	fact	31 minus 5	26
math	grade2	fact	31 plus 10	41
math	grade2	problem	31+10	41
math	grade2	fact	31 minus 10	21
math	grade2	fact	31 plus 12	43
math	grade2	problem	31+12	43
math	grade2	fact	31 minus 12	19
math	grade2	fact	38 plus 1	39
math	grade2	problem	38+1	39
math	grade2	fact	38 minus 1	37
math	grade2	fact	38 plus 5	43
math	grade2	problem	38+5	43
math	grade2	fact	38 minus 5	33
math	grade2	fact	38 plus 10	48
math	grade2	problem	38+10	48
math	grade2	fact	38 minus 10	28
math	grade2	fact	38 plus 12	50
math	grade2	problem	38+12	50
math	grade2	fact	38 minus 12	26
math	grade2	fact	45 plus 1	46
math	grade2	problem	45+1	46
math	grade2	fact	45 minus 1	44
math	grade2	fact	45 plus 5	50
math	grade2	problem	45+5	50
math	grade2	fact	45 minus 5	40
math	grade2	fact	45 plus 10	55
math	grade2	problem	45+10	55
math	grade2	fact	45 minus 10	35
math	grade2	fact	45 plus 12	57
math	grade2	problem	45+12	57
math	grade2	fact	45 minus 12	33
math	grade2	fact	52 plus 1	53
math	grade2	problem	52+1	53
math	grade2	fact	52 minus 1	51
math	grade2	fact	52 plus 5	57
math	grade2	problem	52+5	57
math	grade2	fact	52 minus 5	47
math	grade2	fact	52 plus 10	62
math	grade2	problem	52+10	62
math	grade2	fact	52 minus 10	42
math	grade2	fact	52 plus 12	64
math	grade2	problem	52+12	64
math	grade2	fact	52 minus 12	40
math	grade2	fact	59 plus 1	60
math	grade2	problem	59+1	60
math	grade2	fact	59 minus 1	58
math	grade2	fact	59 plus 5	64
math	grade2	problem	59+5	64
math	grade2	fact	59 minus 5	54
math	grade2	fact	59 plus 10	69
math	grade2	problem	59+10	69
math	grade2	fact	59 minus 10	49
math	grade2	fact	59 plus 12	71
math	grade2	problem	59+12	71
math	grade2	fact	59 minus 12	47
math	grade2	fact	66 plus 1	67
math	grade2	problem	66+1	67
math	grade2	fact	66 minus 1	65
math	grade2	fact	66 plus 5	71
math	grade2	problem	66+5	71
math	grade2	fact	66 minus 5	61
math	grade2	fact	66 plus 10	76
math	grade2	problem	66+10	76
math	grade2	fact	66 minus 10	56
math	grade2	fact	66 plus 12	78
math	grade2	problem	66+12	78
math	grade2	fact	66 minus 12	54
math	grade2	fact	73 plus 1	74
math	grade2	problem	73+1	74
math	grade2	fact	73 minus 1	72
math	grade2	fact	73 plus 5	78
math	grade2	problem	73+5	78
math	grade2	fact	73 minus 5	68
math	grade2	fact	73 plus 10	83
math	grade2	problem	73+10	83
math	grade2	fact	73 minus 10	63
math	grade2	fact	73 plus 12	85
math	grade2	problem	73+12	85
math	grade2	fact	73 minus 12	61
math	grade2	fact	80 plus 1	81
math	grade2	problem	80+1	81
math	grade2	fact	80 minus 1	79
math	grade2	fact	80 plus 5	85
math	grade2	problem	80+5	85
math	grade2	fact	80 minus 5	75
math	grade2	fact	80 plus 10	90
math	grade2	problem	80+10	90
math	grade2	fact	80 minus 10	70
math	grade2	fact	80 plus 12	92
math	grade2	problem	80+12	92
math	grade2	fact	80 minus 12	68
math	grade2	fact	87 plus 1	88
math	grade2	problem	87+1	88
math	grade2	fact	87 minus 1	86
math	grade2	fact	87 plus 5	92
math	grade2	problem	87+5	92
math	grade2	fact	87 minus 5	82
math	grade2	fact	87 plus 10	97
math	grade2	problem	87+10	97
math	grade2	fact	87 minus 10	77
math	grade2	fact	87 plus 12	99
math	grade2	problem	87+12	99
math	grade2	fact	87 minus 12	75
math	grade2	fact	94 plus 1	95
math	grade2	problem	94+1	95
math	grade2	fact	94 minus 1	93
math	grade2	fact	94 plus 5	99
math	grade2	problem	94+5	99
math	grade2	fact	94 minus 5	89
math	grade2	fact	94 minus 10	84
math	grade2	fact	94 minus 12	82
math	grade2	fact	0 times 0	0
math	grade2	problem	0x0	0
math	grade2	fact	0 times 1	0
math	grade2	problem	0x1	0
math	grade2	fact	0 times 2	0
math	grade2	problem	0x2	0
math	grade2	fact	0 times 3	0
math	grade2	problem	0x3	0
math	grade2	fact	0 times 4	0
math	grade2	problem	0x4	0
math	grade2	fact	0 times 5	0
math	grade2	problem	0x5	0
math	grade3	fact	0 times 6	0
math	grade3	problem	0x6	0
math	grade3	fact	0 times 7	0
math	grade3	problem	0x7	0
math	grade3	fact	0 times 8	0
math	grade3	problem	0x8	0
math	grade3	fact	0 times 9	0
math	grade3	problem	0x9	0
math	grade3	fact	0 times 10	0
math	grade3	problem	0x10	0
math	grade4	fact	0 times 11	0
math	grade4	problem	0x11	0
math	grade4	fact	0 times 12	0
math	grade4	problem	0x12	0
math	grade2	fact	1 times 0	0
math	grade2	problem	1x0	0
math	grade2	fact	1 times 1	1
math	grade2	problem	1x1	1
math	grade2	fact	1 times 2	2
math	grade2	problem	1x2	2
math	grade2	fact	1 times 3	3
math	grade2	problem	1x3	3
math	grade2	fact	1 times 4	4
math	grade2	problem	1x4	4
math	grade2	fact	1 times 5	5
math	grade2	problem	1x5	5
math	grade3	fact	1 times 6	6
math	grade3	problem	1x6	6
math	grade3	fact	1 times 7	7
math	grade3	problem	1x7	7
math	grade3	fact	1 times 8	8
math	grade3	problem	1x8	8
math	grade3	fact	1 times 9	9
math	grade3	problem	1x9	9
math	grade3	fact	1 times 10	10
math	grade3	problem	1x10	10
math	grade4	fact	1 times 11	11
math	grade4	problem	1x11	11
math	grade4	fact	1 times 12	12
math	grade4	problem	1x12	12
math	grade2	fact	2 times 0	0
math	grade2	problem	2x0	0
math	grade2	fact	2 times 1	2
math	grade2	problem	2x1	2
math	grade2	fact	2 times 2	4
math	grade2	problem	2x2	4
math	grade2	fact	2 times 3	6
math	grade2	problem	2x3	6
math	grade2	fact	2 times 4	8
math	grade2	problem	2x4	8
math	grade2	fact	2 times 5	10
math	grade2	problem	2x5	10
math	grade3	fact	2 times 6	12
math	grade3	problem	2x6	12
math	grade3	fact	2 times 7	14
math	grade3	problem	2x7	14
math	grade3	fact	2 times 8	16
math	grade3	problem	2x8	16
math	grade3	fact	2 times 9	18
math	grade3	problem	2x9	18
math	grade3	fact	2 times 10	20
math	grade3	problem	2x10	20
math	grade4	fact	2 times 11	22
math	grade4	problem	2x11	22
math	grade4	fact	2 times 12	24
math	grade4	problem	2x12	24
math	grade2	fact	3 times 0	0
math	grade2	problem	3x0	0
math	grade2	fact	3 times 1	3
math	grade2	problem	3x1	3
math	grade2	fact	3 times 2	6
math	grade2	problem	3x2	6
math	grade2	fact	3 times 3	9
math	grade2	problem	3x3	9
math	grade2	fact	3 times 4	12
math	grade2	problem	3x4	12
math	grade2	fact	3 times 5	15
math	grade2	problem	3x5	15
math	grade3	fact	3 times 6	18
math	grade3	problem	3x6	18
math	grade3	fact	3 times 7	21
math	grade3	problem	3x7	21
math	grade3	fact	3 times 8	24
math	grade3	problem	3x8	24
math	grade3	fact	3 times 9	27
math	grade3	problem	3x9	27
math	grade3	fact	3 times 10	30
math	grade3	problem	3x10	30
math	grade4	fact	3 times 11	33
math	grade4	problem	3x11	33
math	grade4	fact	3 times 12	36
math	grade4	problem	3x12	36
math	grade2	fact	4 times 0	0
math	grade2	problem	4x0	0
math	grade2	fact	4 times 1	4
math	grade2	problem	4x1	4
math	grade2	fact	4 times 2	8
math	grade2	problem	4x2	8
math	grade2	fact	4 times 3	12
math	grade2	problem	4x3	12
math	grade2	fact	4 times 4	16
math	grade2	problem	4x4	16
math	grade2	fact	4 times 5	20
math	grade2	problem	4x5	20
math	grade3	fact	4 times 6	24
math	grade3	problem	4x6	24
math	grade3	fact	4 times 7	28
math	grade3	problem	4x7	28
math	grade3	fact	4 times 8	32
math	grade3	problem	4x8	32
math	grade3	fact	4 times 9	36
math	grade3	problem	4x9	36
math	grade3	fact	4 times 10	40
math	grade3	problem	4x10	40
math	grade4	fact	4 times 11	44
math	grade4	problem	4x11	44
math	grade4	fact	4 times 12	48
math	grade4	problem	4x12	48
math	grade2	fact	5 times 0	0
math	grade2	problem	5x0	0
math	grade2	fact	5 times 1	5
math	grade2	problem	5x1	5
math	grade2	fact	5 times 2	10
math	grade2	problem	5x2	10
math	grade2	fact	5 times 3	15
math	grade2	problem	5x3	15
math	grade2	fact	5 times 4	20
math	grade2	problem	5x4	20
math	grade2	fact	5 times 5	25
math	grade2	problem	5x5	25
math	grade3	fact	5 times 6	30
math	grade3	problem	5x6	30
math	grade3	fact	5 times 7	35
math	grade3	problem	5x7	35
math	grade3	fact	5 times 8	40
math	grade3	problem	5x8	40
math	grade3	fact	5 times 9	45
math	grade3	problem	5x9	45
math	grade3	fact	5 times 10	50
math	grade3	problem	5x10	50
math	grade4	fact	5 times 11	55
math	grade4	problem	5x11	55
math	grade4	fact	5 times 12	60
math	grade4	problem	5x12	60
math	grade3	fact	6 times 0	0
math	grade3	problem	6x0	0
math	grade3	fact	6 times 1	6
math	grade3	problem	6x1	6
math	grade3	fact	6 times 2	12
math	grade3	problem	6x2	12
math	grade3	fact	6 times 3	18
math	grade3	problem	6x3	18
math	grade3	fact	6 times 4	24
math	grade3	problem	6x4	24
math	grade3	fact	6 times 5	30
math	grade3	problem	6x5	30
math	grade3	fact	6 times 6	36
math	grade3	problem	6x6	36
